key	lang	from-state	applied
uni.mother	uk	absent	yes
uni.mother	cs	absent	yes
uni.mother	zh	absent	yes
uni.mother	ko	absent	yes
uni.mother	ar	absent	yes
uni.mother	nl-be	absent	yes
uni.mother	es	absent	yes
uni.mother	nl	absent	yes
uni.mother	de	absent	yes
uni.mother	fr	absent	yes
uni.mother	he	absent	yes
uni.mother	hi	absent	yes
uni.mother	bn	absent	yes
uni.mother	fa	absent	yes
uni.mother	ur	absent	yes
uni.mother	ja	absent	yes
uni.mother	da	absent	yes
uni.mother	nb	absent	yes
uni.mother	sv	absent	yes
uni.mother	fi	absent	yes
uni.mother	tr	absent	yes
uni.mother	hu	absent	yes
uni.mother	sa	absent	yes
uni.students	en	absent	yes
uni.students	ru	absent	yes
uni.students	lv	absent	yes
uni.students	th	absent	yes
uni.students	gd	absent	yes
uni.students	tt	absent	yes
uni.students	uk	absent	yes
uni.students	cs	absent	yes
uni.students	zh	absent	yes
uni.students	ko	absent	yes
uni.students	ar	absent	yes
uni.students	nl-be	absent	yes
uni.students	es	absent	yes
uni.students	nl	absent	yes
uni.students	de	absent	yes
uni.students	fr	absent	yes
uni.students	he	absent	yes
uni.students	hi	absent	yes
uni.students	bn	absent	yes
uni.students	fa	absent	yes
uni.students	ur	absent	yes
uni.students	ja	absent	yes
uni.students	da	absent	yes
uni.students	nb	absent	yes
uni.students	sv	absent	yes
uni.students	fi	absent	yes
uni.students	tr	absent	yes
uni.students	hu	absent	yes
uni.students	sa	absent	yes
uni.quests.h	en	absent	yes
uni.quests.h	ru	absent	yes
uni.quests.h	lv	absent	yes
uni.quests.h	th	absent	yes
uni.quests.h	gd	absent	yes
uni.quests.h	tt	absent	yes
uni.quests.h	uk	absent	yes
uni.quests.h	cs	absent	yes
uni.quests.h	zh	absent	yes
uni.quests.h	ko	absent	yes
uni.quests.h	ar	absent	yes
uni.quests.h	nl-be	absent	yes
uni.quests.h	es	absent	yes
uni.quests.h	nl	absent	yes
uni.quests.h	de	absent	yes
uni.quests.h	fr	absent	yes
uni.quests.h	he	absent	yes
uni.quests.h	hi	absent	yes
uni.quests.h	bn	absent	yes
uni.quests.h	fa	absent	yes
uni.quests.h	ur	absent	yes
uni.quests.h	ja	absent	yes
uni.quests.h	da	absent	yes
uni.quests.h	nb	absent	yes
uni.quests.h	sv	absent	yes
uni.quests.h	fi	absent	yes
uni.quests.h	tr	absent	yes
uni.quests.h	hu	absent	yes
uni.quests.h	sa	absent	yes
uni.quests.badge	en	absent	yes
uni.quests.badge	ru	absent	yes
uni.quests.badge	lv	absent	yes
uni.quests.badge	th	absent	yes
uni.quests.badge	gd	absent	yes
uni.quests.badge	tt	absent	yes
uni.quests.badge	uk	absent	yes
uni.quests.badge	cs	absent	yes
uni.quests.badge	zh	absent	yes
uni.quests.badge	ko	absent	yes
uni.quests.badge	ar	absent	yes
uni.quests.badge	nl-be	absent	yes
uni.quests.badge	es	absent	yes
uni.quests.badge	nl	absent	yes
uni.quests.badge	de	absent	yes
uni.quests.badge	fr	absent	yes
uni.quests.badge	he	absent	yes
uni.quests.badge	hi	absent	yes
uni.quests.badge	bn	absent	yes
uni.quests.badge	fa	absent	yes
uni.quests.badge	ur	absent	yes
uni.quests.badge	ja	absent	yes
uni.quests.badge	da	absent	yes
uni.quests.badge	nb	absent	yes
uni.quests.badge	sv	absent	yes
uni.quests.badge	fi	absent	yes
uni.quests.badge	tr	absent	yes
uni.quests.badge	hu	absent	yes
uni.quests.badge	sa	absent	yes
uni.quests.law	en	absent	yes
uni.quests.law	ru	absent	yes
uni.quests.law	lv	absent	yes
uni.quests.law	th	absent	yes
uni.quests.law	gd	absent	yes
uni.quests.law	tt	absent	yes
uni.quests.law	uk	absent	yes
uni.quests.law	cs	absent	yes
uni.quests.law	zh	absent	yes
uni.quests.law	ko	absent	yes
uni.quests.law	ar	absent	yes
uni.quests.law	nl-be	absent	yes
uni.quests.law	es	absent	yes
uni.quests.law	nl	absent	yes
uni.quests.law	de	absent	yes
uni.quests.law	fr	absent	yes
uni.quests.law	he	absent	yes
uni.quests.law	hi	absent	yes
uni.quests.law	bn	absent	yes
uni.quests.law	fa	absent	yes
uni.quests.law	ur	absent	yes
uni.quests.law	ja	absent	yes
uni.quests.law	da	absent	yes
uni.quests.law	nb	absent	yes
uni.quests.law	sv	absent	yes
uni.quests.law	fi	absent	yes
uni.quests.law	tr	absent	yes
uni.quests.law	hu	absent	yes
uni.quests.law	sa	absent	yes
uni.q.wt	en	absent	yes
uni.q.wt	ru	absent	yes
uni.q.wt	lv	absent	yes
uni.q.wt	th	absent	yes
uni.q.wt	gd	absent	yes
uni.q.wt	tt	absent	yes
uni.q.wt	uk	absent	yes
uni.q.wt	cs	absent	yes
uni.q.wt	zh	absent	yes
uni.q.wt	ko	absent	yes
uni.q.wt	ar	absent	yes
uni.q.wt	nl-be	absent	yes
uni.q.wt	es	absent	yes
uni.q.wt	nl	absent	yes
uni.q.wt	de	absent	yes
